Jurisdiction,,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
, Female,1,0,4,0,2,0,2,3,3,0,2,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Oklahoma,,90,90,131,152,346,467,311,275,417,361,356,412,362,294,387,424,490,513,341,211,116,59,70,93,150,12,17,126,161,13,23,20,23,21,60,21,14,17,12,
, Male,86,83,117,143,329,444,295,257,384,334,317,370,330,275,334,379,405,430,279,177,100,48,60,67,102,8,15,115,129,13,23,17,23,15,50,12,12,14,11, 
, Female,4,7,14,9,17,23,16,18,33,27,39,42,32,19,53,45,85,83,62,34,16,11,10,26,48,4,2,11,32,0,0,3,0,6,10,9,2,3,1, 
Oregon,,171,181,300,492,528,368,643,722,666,1012,1356,1124,176,156,70,75,159,126,75,62,51,73,56,52,27,30,14,17,12,12,13,8,9,7,4,11,8,8,8,
, Male,155,173,287,469,493,333,580,633,556,850,1110,910,141,122,65,64,135,114,71,58,45,61,51,48,24,30,12,16,12,11,12,8,8,7,4,9,7,7,7, 
, Female,16,8,13,23,35,35,63,89,110,162,246,214,35,34,5,11,24,12,4,4,6,12,5,4,3,0,2,1,0,1,1,0,1,0,0,2,1,1,1, 
Pennsylvania,,86,84,76,56,76,72,63,48,54,68,42,72,78,54,89,8,1,0,124,97,72,67,57,141,135,139,125,95,123,232,237,135,144,171,215,140,101,160,114,
, Male,62,65,62,42,67,52,52,46,49,63,42,68,74,52,84,8,1,0,118,95,70,67,56,138,134,137,121,90,119,218,221,120,129,165,193,124,80,133,93, 
, Female,24,19,14,14,9,20,11,2,5,5,0,4,4,2,5,0,0,0,6,2,2,0,1,3,1,2,4,5,4,14,16,15,15,6,22,16,21,27,21, 
